start_ip,end_ip,asn
161.10.96.0,161.10.127.255,3816
161.10.128.0,161.10.159.255,3816
161.10.160.0,161.10.191.255,3816
161.10.192.0,161.10.223.255,3816
161.10.224.0,161.10.227.255,3816
161.10.228.0,161.10.231.255,3816
161.10.232.0,161.10.235.255,3816
161.10.236.0,161.10.239.255,3816
161.10.240.0,161.10.243.255,3816
161.10.244.0,161.10.247.255,3816
161.10.248.0,161.10.251.255,3816
161.10.252.0,161.10.255.255,3816
161.18.0.0,161.18.15.255,3816
161.18.32.0,161.18.35.255,3816
161.18.36.0,161.18.39.255,3816
161.18.40.0,161.18.43.255,3816
161.18.44.0,161.18.47.255,3816
161.18.48.0,161.18.51.255,3816
161.18.52.0,161.18.55.255,3816
161.18.56.0,161.18.59.255,3816
161.18.60.0,161.18.63.255,3816
161.18.64.0,161.18.79.255,3816
161.18.80.0,161.18.95.255,3816
161.18.104.0,161.18.111.255,3816
161.18.112.0,161.18.127.255,3816
161.18.128.0,161.18.159.255,3816
161.18.160.0,161.18.191.255,3816
161.18.192.0,161.18.207.255,3816
161.18.208.0,161.18.223.255,3816
161.18.224.0,161.18.227.255,3816
161.18.228.0,161.18.231.255,3816
161.18.232.0,161.18.235.255,3816
161.18.236.0,161.18.239.255,3816
161.18.240.0,161.18.243.255,3816
161.18.244.0,161.18.247.255,3816
161.18.248.0,161.18.251.255,3816
161.18.252.0,161.18.255.255,3816
166.0.13.0,166.0.13.255,262191
166.210.0.0,166.210.127.255,26611
166.210.128.0,166.210.191.255,26611
166.210.224.0,166.210.239.255,26611
166.238.0.0,166.238.255.255,26611
167.0.0.0,167.0.31.255,3816
167.0.32.0,167.0.63.255,3816
167.0.64.0,167.0.95.255,3816
167.0.96.0,167.0.127.255,3816
167.0.128.0,167.0.159.255,3816
167.0.160.0,167.0.191.255,3816
167.0.192.0,167.0.207.255,3816
167.0.208.0,167.0.223.255,3816
167.0.224.0,167.0.239.255,3816
167.0.240.0,167.0.255.255,3816
167.249.40.0,167.249.40.255,27951
167.249.41.0,167.249.41.255,27817
167.249.42.0,167.249.42.255,27817
